rat,weight,week,X
1,61,0,170
1,72,1,170
1,118,2,170
1,130,3,170
1,176,4,170
2,65,0,194
2,85,1,194
2,129,2,194
2,148,3,194
2,174,4,194
3,57,0,187
3,68,1,187
3,130,2,187
3,143,3,187
3,201,4,187
4,46,0,156
4,74,1,156
4,116,2,156
4,124,3,156
4,157,4,156
5,47,0,155
5,85,1,155
5,103,2,155
5,117,3,155
5,148,4,155
6,43,0,150
6,58,1,150
6,109,2,150
6,133,3,150
6,152,4,150
7,53,0,138
7,62,1,138
7,82,2,138
7,112,3,138
7,156,4,138
8,72,0,154
8,96,1,154
8,117,2,154
8,129,3,154
8,154,4,154
9,53,0,149
9,54,1,149
9,87,2,149
9,120,3,149
9,138,4,149
10,72,0,167
10,98,1,167
10,114,2,167
10,144,3,167
10,177,4,167
