"wage","ethnicity","occupation"
5.1,"hispanic","worker"
4.95,"cauc","worker"
6.67,"cauc","worker"
4,"cauc","worker"
7.5,"cauc","worker"
13.07,"cauc","worker"
4.45,"cauc","worker"
19.47,"cauc","worker"
13.28,"cauc","worker"
8.75,"cauc","worker"
11.35,"cauc","worker"
11.5,"cauc","worker"
6.5,"cauc","worker"
6.25,"cauc","worker"
19.98,"cauc","worker"
7.3,"cauc","worker"
8,"cauc","worker"
22.2,"cauc","worker"
3.65,"cauc","worker"
20.55,"cauc","worker"
5.71,"cauc","worker"
7,"other","worker"
3.75,"cauc","worker"
4.5,"other","worker"
9.56,"cauc","worker"
5.75,"cauc","worker"
9.36,"cauc","worker"
6.5,"cauc","worker"
3.35,"cauc","worker"
4.75,"cauc","worker"
8.9,"cauc","worker"
4,"cauc","worker"
4.7,"cauc","worker"
5,"cauc","worker"
9.25,"cauc","worker"
10.67,"other","worker"
7.61,"other","worker"
10,"other","worker"
7.5,"cauc","worker"
12.2,"cauc","worker"
3.35,"cauc","worker"
11,"cauc","worker"
12,"cauc","worker"
4.85,"cauc","worker"
4.3,"cauc","worker"
6,"cauc","worker"
15,"cauc","worker"
4.85,"cauc","worker"
9,"cauc","worker"
6.36,"cauc","worker"
9.15,"cauc","worker"
11,"cauc","worker"
4.5,"cauc","worker"
4.8,"cauc","worker"
4,"cauc","worker"
5.5,"cauc","worker"
8.4,"cauc","worker"
6.75,"cauc","worker"
10,"other","worker"
5,"cauc","worker"
6.5,"cauc","worker"
10.75,"cauc","worker"
7,"hispanic","worker"
11.43,"cauc","worker"
4,"other","worker"
9,"cauc","worker"
13,"other","worker"
12.22,"cauc","worker"
6.28,"cauc","worker"
6.75,"other","worker"
3.35,"other","worker"
16,"cauc","worker"
5.25,"cauc","worker"
3.5,"hispanic","worker"
4.22,"cauc","worker"
3,"hispanic","worker"
4,"cauc","worker"
10,"cauc","worker"
5,"other","worker"
16,"cauc","worker"
13.98,"cauc","worker"
13.26,"cauc","worker"
6.1,"cauc","worker"
3.75,"cauc","worker"
9,"other","worker"
9.45,"cauc","worker"
5.5,"cauc","worker"
8.93,"cauc","worker"
6.25,"cauc","worker"
9.75,"cauc","worker"
6.73,"cauc","worker"
7.78,"cauc","worker"
2.85,"cauc","worker"
3.35,"other","worker"
19.98,"cauc","worker"
8.5,"other","worker"
9.75,"cauc","worker"
15,"cauc","worker"
8,"cauc","worker"
11.25,"cauc","worker"
14,"cauc","worker"
10,"cauc","worker"
6.5,"cauc","worker"
9.83,"cauc","worker"
18.5,"cauc","worker"
12.5,"cauc","worker"
26,"cauc","worker"
14,"cauc","worker"
10.5,"cauc","worker"
11,"cauc","worker"
12.47,"cauc","worker"
12.5,"cauc","worker"
15,"cauc","worker"
6,"cauc","worker"
9.5,"cauc","worker"
5,"cauc","worker"
3.75,"cauc","worker"
12.57,"cauc","worker"
6.88,"hispanic","worker"
5.5,"cauc","worker"
7,"cauc","worker"
4.5,"cauc","worker"
6.5,"cauc","worker"
12,"cauc","worker"
5,"cauc","worker"
6.5,"cauc","worker"
6.8,"cauc","worker"
8.75,"cauc","worker"
3.75,"other","worker"
4.5,"hispanic","worker"
6,"hispanic","worker"
5.5,"cauc","worker"
13,"cauc","worker"
5.65,"cauc","worker"
4.8,"other","worker"
7,"cauc","worker"
5.25,"cauc","worker"
3.35,"cauc","worker"
8.5,"cauc","worker"
6,"cauc","worker"
6.75,"cauc","worker"
8.89,"cauc","worker"
14.21,"cauc","worker"
10.78,"other","worker"
8.9,"cauc","worker"
7.5,"cauc","worker"
4.5,"cauc","worker"
11.25,"cauc","worker"
13.45,"cauc","worker"
6,"cauc","worker"
4.62,"other","worker"
10.58,"cauc","worker"
5,"cauc","worker"
8.2,"other","worker"
6.25,"cauc","worker"
8.5,"cauc","worker"
24.98,"cauc","management"
16.65,"cauc","management"
6.25,"cauc","management"
4.55,"hispanic","management"
11.25,"hispanic","management"
21.25,"cauc","management"
12.65,"cauc","management"
7.5,"cauc","management"
10.25,"cauc","management"
3.35,"cauc","management"
13.45,"other","management"
4.84,"cauc","management"
26.29,"cauc","management"
6.58,"cauc","management"
44.5,"cauc","management"
15,"cauc","management"
11.25,"other","management"
